"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"3644","18216","18216","18216","0.08810517936944962","0.08810517936944962","0.08810517936944962"
"3682","18406","18406","18406","0.14031733572483063","0.14031733572483063","0.14031733572483063"
"3685","18421","18421","18421","0.1819971799850464","0.1819971799850464","0.1819971799850464"
"3711","18551","18551","18551","0.32436037063598633","0.32436037063598633","0.32436037063598633"
"3726","18626","18626","18626","0.17364734411239624","0.17364734411239624","0.17364734411239624"
"3737","18681","18681","18681","0.2564467787742615","0.2564467787742615","0.2564467787742615"
"3741","18701","18701","18701","0.32001277804374695","0.32001277804374695","0.32001277804374695"
"3755","18771","18771","18771","0.30676737427711487","0.30676737427711487","0.30676737427711487"
"3766","18826","18826","18826","0.16317319869995117","0.16317319869995117","0.16317319869995117"
"3781","18901","18901","18901","0.3577703833580017","0.3577703833580017","0.3577703833580017"
"3801","19001","19001","19001","0.3776358962059021","0.3776358962059021","0.3776358962059021"
"3805","19021","19021","19021","0.15666964650154114","0.15666964650154114","0.15666964650154114"
"3806","19026","19026","19026","0.26474708318710327","0.26474708318710327","0.26474708318710327"
"3828","19136","19136","19136","0.11462175846099854","0.11462175846099854","0.11462175846099854"
"3867","19331","19331","19331","0.34496599435806274","0.34496599435806274","0.34496599435806274"
"3879","19391","19391","19391","0.26372799277305603","0.26372799277305603","0.26372799277305603"
"3880","19396","19396","19396","0.2502064108848572","0.2502064108848572","0.2502064108848572"
"3909","19541","19541","19541","0.23862378299236298","0.23862378299236298","0.23862378299236298"
"3914","19566","19566","19566","0.18824268877506256","0.18824268877506256","0.18824268877506256"
"3917","19581","19581","19581","0.3074556589126587","0.3074556589126587","0.3074556589126587"
"3948","19736","19736","19736","0.28583258390426636","0.28583258390426636","0.28583258390426636"
"3969","19841","19841","19841","0.22728168964385986","0.22728168964385986","0.22728168964385986"
"3998","19986","19986","19986","0.26263415813446045","0.26263415813446045","0.26263415813446045"
"4012","20056","20056","20056","0.23221616446971893","0.23221616446971893","0.23221616446971893"
"4013","20061","20061","20061","0.19886071979999542","0.19886071979999542","0.19886071979999542"
"4019","20091","20091","20091","0.5523386597633362","0.5523386597633362","0.5523386597633362"
"4044","20216","20216","20216","0.1759600043296814","0.1759600043296814","0.1759600043296814"
"4051","20251","20251","20251","0.29810094833374023","0.29810094833374023","0.29810094833374023"
